060500:0,0.08380104;3,0.1076495;1,0.1280393;2,0.1762327;4,0.1944407;5,0.1496814;8,0.0876075;6,0.03468663;7,0.03786121;
000400:0,0.1638386;3,0.2284616;1,0.03543936;2,0.02076057;4,0.01791115;5,0.112578;8,0.1129495;6,0.08244407;7,0.2256171;
020500:0,0.1367512;3,0.1370288;1,0.2031219;2,0.172563;4,0.2040964;5,0.07332185;8,0.01690779;6,0.041572;7,0.01463718;
0A0500:0,0.1155324;3,0.03640191;1,0.1302076;2,0.2236577;4,0.08000563;5,0.0839398;8,0.03755921;6,0.1073152;7,0.1853805;
000500:0,0.0888093;3,0.1673047;1,0.03837902;2,0.03037385;4,0.1813579;5,0.09731211;8,0.06356772;6,0.1901126;7,0.1427828;
000000:0,0.1692229;3,0.2101027;1,0.09383328;2,0.1786787;4,0.07088772;5,0.05042533;8,0.1380405;6,0.06679895;7,0.02200986;
060000:0,0.01755953;3,0.1432993;1,0.1965739;2,0.007646354;4,0.138892;5,0.1691642;8,0.07678357;6,0.06017487;7,0.1899063;
020100:0,0.1551866;3,0.1055751;1,0.03752413;2,0.1206302;4,0.1523789;5,0.1047179;8,0.1174501;6,0.04765165;7,0.1588853;
000100:0,0.1390459;3,0.01749755;1,0.1525465;2,0.1587654;4,0.04250941;5,0.1167355;8,0.1446536;6,0.1037921;7,0.1244539;
000900:0,0.06441229;3,0.132968;1,0.1348608;2,0.1455665;4,0.1446641;5,0.0869846;8,0.08908675;6,0.1584552;7,0.04300179;
000800:0,0.2036153;3,0.06812192;1,0.09952585;2,0.02857054;4,0.303587;5,0.08068059;8,0.176819;6,0.0336399;7,0.005439782;
